Edition,Bronze,Gold,Silver,Grand Total,City,Country,,,Host City,Total,,Host Country,Total games
1896,40,64,47,151,Athens,Greece,,,Amsterdam,1,,Belgium,1
1900,142,178,192,512,Paris,France,,,Antwerp,1,,Canada,1
1904,123,188,159,470,St. Louis,United States,,,Atlanta,1,,China,1
1908,211,311,282,804,London,United Kingdom,,,Barcelona,1,,Finland,1
1912,284,301,300,885,Stockholm,Sweden,,,Beijing,1,,Germany,1
1920,355,497,446,1298,Antwerp,Belgium,,,Berlin,1,,Italy,1
1924,285,301,298,884,Paris,France,,,Helsinki,1,,Japan,1
1928,242,229,239,710,Amsterdam,Netherlands,,,Melbourne,1,,Mexico,1
1932,196,213,206,615,Los Angeles,United States,,,Mexico City,1,,Netherlands,1
1936,282,299,294,875,Berlin,Germany,,,Montreal,1,,South Korea,1
1948,268,276,270,814,London,United Kingdom,,,Moscow,1,,Spain,1
1952,299,300,290,889,Helsinki,Finland,,,Munich,1,,Sweden,1
1956,297,298,290,885,Melbourne,Australia,,,Rome,1,,U.S.S.R. (now Russia),1
1960,301,295,286,882,Rome,Italy,,,Seoul,1,,West Germany (now Germany),1
1964,343,330,337,1010,Tokyo,Japan,,,St. Louis,1,,Australia,2
1968,351,341,339,1031,Mexico City,Mexico,,,Stockholm,1,,France,2
1972,412,387,386,1185,Munich,West Germany (now Germany),,,Sydney,1,,Greece,2
1976,447,429,429,1305,Montreal,Canada,,,Tokyo,1,,United Kingdom,2
1980,472,460,455,1387,Moscow,U.S.S.R. (now Russia),,,Athens,2,,United States,4
1984,500,483,476,1459,Los Angeles,United States,,,London,2,,,
1988,535,506,505,1546,Seoul,South Korea,,,Los Angeles,2,,,
1992,596,558,551,1705,Barcelona,Spain,,,Paris,2,,,
1996,634,615,610,1859,Atlanta,United States,,,,,,,
2000,685,663,667,2015,Sydney,Australia,,,,,,,
2004,679,659,660,1998,Athens,Greece,,,,,,,
2008,710,669,663,2042,Beijing,China,,,,,,,
Grand Total,9689,9850,9677,29216,,,,,,,,,
